project,rule_id,location,line,context,in_test_path,classification,justification
requests,pqc-scan.source.md5.python-hashlib,src/requests/auth.py,148,return hashlib.md5(x).hexdigest(),no,protocol-mandated,RFC 7616 HTTP Digest Auth REQUIRES MD5 — algorithm is broken but the use is dictated by the spec; not a 'go migrate' finding
requests,pqc-scan.source.sha1.python-hashlib,src/requests/auth.py,156,return hashlib.sha1(x).hexdigest(),no,protocol-mandated,RFC 7616 HTTP Digest Auth uses SHA-1 as a session hash; algorithm is dictated by spec
requests,pqc-scan.source.sha1.python-hashlib,src/requests/auth.py,205,cnonce = hashlib.sha1(s).hexdigest()[:16],no,protocol-mandated,RFC 7616 HTTP Digest Auth uses SHA-1 as a session hash; algorithm is dictated by spec
requests,pqc-scan.cert.rsa-public-key,tests/certs/expired/ca/ca.crt,,"subject=CN=Self-Signed Root CA,OU=python-requests,O=Python Software Foundation,C=US",yes,true-positive-test-only,RSA keys in TLS test fixtures (expired/server certs); migration of test fixtures has no production impact
requests,pqc-scan.cert.rsa-public-key,tests/certs/expired/server/server.pem,,"subject=CN=localhost,OU=python-requests,O=Python Software Foundation,ST=DE,C=US",yes,true-positive-test-only,RSA keys in TLS test fixtures (expired/server certs); migration of test fixtures has no production impact
requests,pqc-scan.cert.rsa-public-key,tests/certs/mtls/client/client.pem,,"subject=CN=requests,OU=python-requests,O=Python Software Foundation,ST=DE,C=US",yes,true-positive-test-only,RSA keys in TLS test fixtures (expired/server certs); migration of test fixtures has no production impact
requests,pqc-scan.cert.rsa-public-key,tests/certs/valid/server/server.pem,,"subject=CN=localhost,OU=python-requests,O=Python Software Foundation,ST=DE,C=US",yes,true-positive-test-only,RSA keys in TLS test fixtures (expired/server certs); migration of test fixtures has no production impact
django,pqc-scan.source.md5.python-hashlib,django/contrib/auth/hashers.py,710,hash = hashlib.md5((salt + password).encode()).hexdigest(),no,true-positive-mixed,"django's MD5PasswordHasher exists for legacy migrations; some hits are legitimate runtime, others in tests"
django,pqc-scan.source.md5.python-hashlib,django/contrib/auth/hashers.py,825,return hashlib.md5(password.encode()).hexdigest(),no,true-positive-mixed,"django's MD5PasswordHasher exists for legacy migrations; some hits are legitimate runtime, others in tests"
django,pqc-scan.source.md5.bare-call,django/db/models/functions/text.py,209,"class MD5(OracleHashMixin, Transform):",no,true-positive-mixed,MD5() bare-name matches in test/legacy paths
